Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_C10 ST-HSC SC3_CF0.csv;110245,2969;61635,66016;33045,47266;-79,379005;889,279541;195,725418;80,374352;-12,742849;140,49469;3704,421631;220,697205;4,542616;99,076637;C10;SC3;CF;0;ST-HSC;24h
export_C10 ST-HSC SC3_CV0.csv;141267,8125;86246,01563;19172,08789;339,555511;205,398682;212,221619;12474,81445;-83,387199;163,691483;4141,151855;319,6409;5,924638;178,761063;C10;SC3;CV;0;ST-HSC;24h
export_C10 ST-HSC SC3_VC0.csv;138184,75;76926,82031;7097,593262;76,573708;279,269867;2542,977051;30341,73828;254,800476;1562,060303;833,919067;615,241577;5,892428;9,590755;C10;SC3;VC;0;ST-HSC;24h
export_C11 HSC SC3_VC0.csv;108501,2422;71393,22656;7690,373535;878,881836;158,476013;173,137726;29034,05469;-39,672935;27,452303;3915,877686;210,194504;5,903532;135,228928;C11;SC3;VC;0;HSC;24h
export_C11 HSC SC3_Vi1.csv;91458,375;58845,56641;-7,747898;14545,26953;165,874405;207729,8906;23393,54102;124530,6172;-4561,083496;41262,74219;7300,602539;0;72,415207;C11;SC3;Vi;1;HSC;24h
export_C12 HSC SC3_CF1.csv.1;138315,7031;84667,51563;12205,78418;450,056;76,556557;241,654678;68,751999;185,674408;1094,305542;37,120304;400,597351;4,188795;56,330788;C12;SC3;CF;1;HSC;24h
export_C12 HSC SC3_CF1.csv.2;128568,6719;83340,64063;13419,22168;486,475159;141,267822;131,816177;73,811371;299,206512;1241,421387;43,34248;337,983337;4,239707;87,876976;C12;SC3;CF;1;HSC;24h
export_C12 HSC SC3_VC1.csv;142791,9063;67523,9375;5987,241699;1415,716431;69,307892;150,119995;24409,81836;113,94529;30,751371;345,223236;147,961273;5,773379;11,418367;C12;SC3;VC;1;HSC;24h
export_C12 HSC SC3_Vi1.csv;154525,1875;98066,78906;1,31557;1148,25708;28,233992;151,000229;24101,08594;70,345627;110,108986;2,709245;233,857758;3,182794;202,754288;C12;SC3;Vi;1;HSC;24h
export_C2 MPP SC2_CF0.csv;132684,3281;87030,47656;29044,4375;160,121048;527,188293;303,152802;81,171204;63,977932;235,847824;769,74054;428,985779;4,506013;51,77037;C2;SC2;CF;0;MPP;24h
