FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family
134393;84504,28125;102824,3359;2946,282959;4997,66748;-44,357323;1039,286743;8422,959961;505,959534;34,418262;CF;G10;SC3;ST-HSC;24h;P+ILs;TT23;G10_TT23;G10CF24hST-HSCTT23
170722;92434,44531;114322,1172;6044,901855;4616,388184;-8,44685;9814,020508;4513,3759770000015;183,832443;34,717667;CF;G11;SC3;SLAM-HSC;24h;P+ILs;TT23;G11_TT23;G11CF24hSLAM-HSCTT23
163665;81346,02344;111195,9844;125,733009;5931,1411130000015;-27,080738;7094,640625;28120,43555;-48,713097;35,07349;CF;G12;SC3;SLAM-HSC;24h;P+ILs;TT23;G12_TT23;G12CF24hSLAM-HSCTT23
147861;73782,38281;100588,3281;541,68988;4933,307129;-28,408207;3621,579834000001;1608,639526;-66,004005;35,477604;CF;H12;SC3;SLAM-HSC;24h;P+ILs;TT23;H12_TT23;H12CF24hSLAM-HSCTT23
146230;76520,57031;97627,60156;57,93077099999999;3475,820557;-25,107935;6330,072754;19656,4043;178,31771899999995;36,076023;CF;H11;SC3;SLAM-HSC;24h;P+ILs;TT23;H11_TT23;H11CF24hSLAM-HSCTT23
152454;92914,01563;105601,7969;5024,050293;6225,29834;49,02594000000001;-61,221004;505,634521;425,201263;36,369358;CF;H10;SC3;ST-HSC;24h;P+ILs;TT23;H10_TT23;H10CF24hST-HSCTT23
136676;85206,38281;94178,98438;539,361694;4105,363281;-14,131768;520,05304;41182,06641;328,249573;36,686577;CF;H9;SC3;ST-HSC;24h;P+ILs;TT23;H9_TT23;H9CF24hST-HSCTT23
190161;133207,4219;139570,3438;6047,086914;2849,619141;-23,912943;1075,510864;7001,904785;4600,807617;36,89793;CF;H8;SC3;MPP;24h;P+ILs;TT23;H8_TT23;H8CF24hMPPTT23
161323;75316,29688;122310,5859;3602,118896;6991,244629000002;-33,3237;7059,362305;493,183807;-43,124229;37,19101;CF;H6;SC2;SLAM-HSC;24h;P;TT23;H6_TT23;H6CF24hSLAM-HSCTT23
140852;81055,66406;91104,02344;-4,176425;3224,887695;-52,90864200000001;11127,75586;39246,11328;40,044285;37,697502;CF;H5;SC2;SLAM-HSC;24h;P;TT23;H5_TT23;H5CF24hSLAM-HSCTT23
180357;95000,08594;135612,4063;3846,837158;6357,070313;-28,565929;2035,490112;556,374512;200,375305;37,959076;CF;H4;SC2;ST-HSC;24h;P;TT23;H4_TT23;H4CF24hST-HSCTT23
156383;88798,99219;126552,9375;2122,104004;2494,09375;-14,673259;1213,44165;13608,7041;295,2659910000001;38,417931;CF;H3;SC2;ST-HSC;24h;P;TT23;H3_TT23;H3CF24hST-HSCTT23
146257;78188,95313;104041,7031;2468,087646;3030,381592;-18,79538;-320,018158;20360,11719;1977,515625;38,681183;CF;H2;SC2;MPP;24h;P;TT23;H2_TT23;H2CF24hMPPTT23
165191;100451,4766;125016,6484;2510,660889;7467,333008;9834,288086;293,89566;33601,65234;2289,036133;4,2163260000000005;CV;A1;SC2;MPP;24h;P;TT23;A1_TT23;A1CV24hMPPTT23
160523;106382,4375;111942,1172;4408,208984000001;4259,894531;9977,115234;468,993652;17646,98047;1246,634155;4,519524;CV;A2;SC2;MPP;24h;P;TT23;A2_TT23;A2CV24hMPPTT23
143671;92720,04688;105060,3438;-281,631744;3477,743408;7666,359863;2451,075684;87199,79688;261,399109;5,4546790000000005;CV;A3;SC2;ST-HSC;24h;P;TT23;A3_TT23;A3CV24hST-HSCTT23
138703;75513,83594;94969,14844;6300,196289;5955,009277;7115,924805;-455,104431;1176,746704;620,251892;6,181285;CV;A4;SC2;ST-HSC;24h;P;TT23;A4_TT23;A4CV24hST-HSCTT23
149111;71699,88281;104809,2578;320,094482;7792,099120999998;7942,542969;12989,05078;2924,51123;41,615097;7,747006;CV;A5;SC2;SLAM-HSC;24h;P;TT23;A5_TT23;A5CV24hSLAM-HSCTT23
146669;118468,0781;100734,6953;1514,630249;3969,658691;9342,195313;7748,615234000001;17317,08398;320,443787;8,215012;CV;A6;SC2;SLAM-HSC;24h;P;TT23;A6_TT23;A6CV24hSLAM-HSCTT23
176275;138878,9531;139741,7031;4197,013672;4613,435059;10578,3291;55,638676;68484,51563;2266,296875;8,419817;CV;A7;SC3;MPP;24h;P+ILs;TT23;A7_TT23;A7CV24hMPPTT23
151015;119734,2344;162193,4375;6075,163574;8877,65625;13741,3291;996,199158;10457,05176;774,60376;8,700985000000001;CV;A8;SC3;MPP;24h;P+ILs;TT23;A8_TT23;A8CV24hMPPTT23
126580;84116,34375;84525,70313;1253,983765;3628,097412;8285,689453;-386,632141;16381,16699;275,790009;8,916057;CV;A9;SC3;ST-HSC;24h;P+ILs;TT23;A9_TT23;A9CV24hST-HSCTT23
