Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Original_cell;Culture_time
export_H1 bulk ckit+ SC4_CF0.csv.49;101294,8438;51869,64453;10563,6416;91,60569;207,365494;9,693876;23,694565;126,724373;786,148499;216,928757;314,727783;3,817289;39,047184;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.50;167560,1094;102596,5;14386,69434;152,033386;240,733017;129,035477;79,54554;145,197891;1182,341309;569,105896;471,572693;4,284061;40,051426;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.51;144799,6875;102160,8672;16007,57227;227,130875;115,62513;88,771538;84,953377;184,197235;1340,41687;145,894104;513,688416;4,337044;43,492287;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.52;200279,0156;121303,1875;11954,14063;156,121964;51,94936;8728,977539;87,29689;126,526634;554,857971;-54,397041;548,867004;4,255734;43,754715;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.53;133007,8906;101008,6641;19556,99023;257,854431;106,124489;36,003788;52,001392;143,442505;85,401344;1497,572998;391,71225;4,247815;43,864838;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.54;170813,3125;130352;14637,30078;-0,215456;109,405014;5880,436523;119,196228;275,306335;804,311523;87,532585;512,133545;4,413565;44,486393;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.55;142787,2656;86130,45313;14091,96582;52,97522;105,290535;168,073181;55,049194;85,486893;938,79895;82,161728;644,356567;4,164663;45,174282;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.56;206346,0625;129183,8438;12715,44141;104,591187;109,813904;6828,862305;136,272446;101,525421;664,730164;2,837642;905,185425;4,411455;45,300587;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.57;139349,7344;62123,33984;14734,17773;87,344978;219,850723;32,474743;73,86306;143,734177;621,513428;108,78228;324,973083;4,268629;45,923607;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.58;159310,3281;106550,9063;20394;42,436222;160,317978;858,221863;83,28421;107,883621;1400,412842;469,374176;735,804504;4,405321;46,41254;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.59;179099;145078,75;14957,00293;1328,618408;124,604317;2481,239014;68,47168;95,418839;887,129517;165,909531;447,551819;4,249963;47,030857;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.60;164906,5469;148212,9688;13960,0791;1606,495972;85,803467;1030,341919;80,448387;64,477623;1007,911011;32,12735;405,261963;4,278283;47,567482;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.61;177810,6875;159030,6563;19727,80469;914,379395;90,912483;258,287598;105,964935;221,064911;619,015198;72,374992;253,122437;4,469085;48,71199;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.62;139738,2656;91778,45313;12625,6709;42,110085;145,351654;285,473175;58,897572;62,144505;433,030762;205,747299;311,913269;4,151673;49,189243;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.63;117348,7344;57322,00781;12981,50391;133,284882;250,916534;42,185844;76,658852;73,008408;588,782104;171,403519;287,617279;4,241147;49,621861;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.64;170486,375;107627,4688;11078,10059;50,380497;121,177841;220,96785;66,903328;37,056843;477,411804;408,804657;588,718994;4,150655;50,101097;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.65;160301,3906;93513,44531;13117,11035;121,268127;134,588638;388,720856;100,513664;192,256058;1118,546387;179,49733;406,475372;4,327538;50,593971;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.66;119416,1094;78402,8125;14474,60938;2327,397705;86,82328;60,59734;55,364006;34,750587;-32,534397;2217,187256;304,674377;4,174641;50,83305;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.67;150871,0938;118406,7813;19554,46289;110,734482;123,35952;849,919983;70,127106;191,887619;996,867798;63,236118;967,38208;4,339608;51,299675;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.68;151551,7656;105055,4609;10765,00781;90,327431;139,174332;510,146729;127,410599;221,83844;1197,538696;40,399887;231,56955;4,33967;51,42514;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.69;145646,0781;112727,3672;13544,7041;94,019829;179,148087;296,324402;80,271767;31,378187;912,414917;219,748123;585,557251;4,268332;51,769226;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.70;121994,9063;61741,56641;14366,84082;1168,73999;463,579407;202,709259;47,704136;-89,457756;-11,167571;4962,487305;396,450195;4,126616;51,784618;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.71;123384,7031;69748,57813;13519,47949;88,28669;137,844315;83,830414;35,365746;133,954468;750,964417;151,678146;464,732971;4,016043;52,405048;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.72;124086,4219;92516,9375;13078,96484;279,393829;132,453934;253,691483;68,779671;121,181427;257,694458;1969,05603;345,210236;4,210137;54,957436;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.73;121563,3906;71060,27344;14408,83203;89,046379;205,127167;75,487091;49,346737;126,735725;664,666321;246,21489;402,824768;4,137909;56,020889;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.74;147058,3438;101797,4766;16634,97656;341,240479;163,010788;134,424591;47,175419;109,433113;215,399628;1248,738159;421,268463;4,168209;56,127174;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.75;119781,2969;63494,5;10052,28516;271,284027;105,142525;47,653397;70,322266;138,359543;1304,837769;389,216797;478,786285;4,13612;57,28228;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.76;134135,6719;104927,5078;14890,87207;364,554474;226,282501;255,003525;87,461601;-51,301369;74,253372;4242,777344;478,791687;4,323772;57,825684;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.77;151351,3906;103569,0234;11175,90332;82,305656;114,833649;437,187256;106,532394;224,042053;1101,692261;31,541374;110,36702;4,296214;58,411415;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.78;143292,2656;83863,54688;10144,60059;288,570648;84,863434;161,481445;40,72551;51,322098;557,701538;135,533844;396,78006;3,971184;62,330811;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.79;133378,5313;83513,49219;12332,33789;550,598022;96,088142;71,427315;54,068722;175,358902;656,626099;164,762787;319,688995;4,118184;62,758629;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.80;136190,875;101338,2656;12984,99902;428,776733;127,679504;194,78476;61,300453;23,770668;40,266743;2582,14917;363,047791;4,17257;66,713547;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.81;193658,6719;129325,1797;15690,79297;139,620819;217,488342;476,492889;116,838692;213,611328;1084,594849;244,025299;816,158386;4,428773;68,746758;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.82;118428,9219;77103,58594;10936,59668;52,620708;133,334473;38,84676;48,243282;111,619095;370,87851;79,430405;503,836578;4,04629;69,394493;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.83;161560,2188;124356,4531;13932,05176;192,096329;104,274055;211,371948;98,184097;230,5737;1648,438354;104,257935;833,914612;4,338847;71,102348;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.84;118115,2188;89920,25;15641,84082;84,775002;234,657791;281,075623;150,406509;111,808998;677,295349;235,196213;440,192352;4,505369;71,942352;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.85;167481,1094;125003,1328;18259,11133;117,764862;341,94928;129,561417;95,845154;85,845619;1065,565552;595,322571;726,494141;4,414503;72,038383;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.86;112009,5938;57373,94922;13258,53125;85,795708;152,633133;3910,775146;47,204403;318,92334;285,163574;81,487541;302,76947;4,098729;73,310387;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.87;102952,3438;84914,50781;10654,47656;125,588242;108,951653;1313,55896;30,238916;98,526764;620,871765;122,381897;562,850891;3,894814;73,471283;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.88;128314,3906;91913,46875;17947,49414;147,02092;159,210541;204,673233;61,3344;128,74353;258,964081;1344,189575;310,019684;4,272133;73,822746;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.89;112666,4688;84598,78125;13582,30762;52,067795;147,761642;315,423981;82,885597;69,191101;698,123657;156,846924;592,873901;4,279023;76,436699;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.90;148185,0313;110435,5313;13671,06348;1175,511963;141,1689;97,738586;52,083885;196,518921;481,068665;40,987011;480,769653;4,138347;76,727142;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.91;135537,3594;80024,98438;22646,04492;2661,761719;27,415207;10,927914;41,15379;169,485535;111,181358;19,502748;152,462692;4,221005;77,496819;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.92;125215,8906;69426,55469;11637,61523;780,580078;102,409813;74,397247;63,198711;96,804924;191,300217;-17,14069;133,148788;4,148293;78,75811;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.93;162287,6406;73796,47656;13989,90625;530,351624;405,173431;351,107788;81,069008;79,789574;245,220581;833,809509;382,530518;4,281298;80,087532;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.94;124914,3047;87377,5625;10947,57031;110,518059;259,825134;187,973404;65,436256;98,550789;851,566528;122,598633;252,06868;4,140206;80,130615;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.95;127467,0547;70018,07031;12201,29004;323,335602;93,107933;843,659912;52,013477;208,065277;976,97113;59,94397;415,384094;4,103003;83,355392;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.96;159953,5313;106985,4453;16511,48047;100,237076;226,868103;80,989578;121,063644;110,544243;1017,08667;220,421249;536,343994;4,455338;83,472481;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.97;173728,1719;93184;13062,42871;112,242035;115,820396;636,093445;73,666847;170,169388;421,906372;105,51384;758,827026;4,230829;83,571976;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.98;146451,6563;121765,6016;16117,36328;1851,830566;41,569187;103,035507;40,823608;141,735291;907,118896;-5,072924;236,609802;4,114092;85,258369;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.99;147211,6719;109979,2109;17339,17969;299,289612;176,84343;135,879242;61,072056;86,209061;281,922394;2278,214111;736,017395;4,260227;86,063118;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.100;121172,7109;84514,94531;12056,29688;263,149689;140,205566;1,931856;53,1427;212,36293;936,902771;396,127136;387,472107;4,105927;86,300743;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.101;129364,6563;75969,89063;16432,41406;324,848267;160,626587;244,302734;54,064369;76,936134;199,083237;1387,028076;259,7836;4,206304;87,263809;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.102;159640,5156;89079,24219;12789,41211;38,889439;109,634186;258,501343;59,012695;93,169548;711,5177;67,823486;656,279114;4,156229;88,153893;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.103;121133,3125;77568,66406;17105,11133;253,357849;115,815819;18,71199;51,269161;121,952019;63,75275;92,41713;317,315948;4,202323;89,031937;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.104;106636,3125;66451,73438;10824,93848;82,021469;150,889801;1045,499878;48,946709;-20,795462;1098,007202;154,627472;344,774261;4,047585;89,450119;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.105;112336,7891;70547,58594;15804,74121;50,110519;191,255386;92,852768;33,48595;39,584652;17,069603;3525,188721;446,541931;4,047232;90,309288;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.106;112208,2813;81501,46094;12411,58008;272,032593;95,121948;1408,905396;50,78883;235,368729;509,343994;131,153122;1258,62085;4,100933;90,602234;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.107;132230,2188;96049,74219;12818,75684;215,857697;204,248901;134,869675;70,74321;-17,744158;209,73645;3167,266846;430,651093;4,21261;91,285591;SC4;CF;0;ckit+;24h
