Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_C8 MPP SC5_VC0.csv;139646,4531;87889,04688;6014,54834;120,539536;290,046478;722,498779;28671,39063;30,809515;1094,904175;762,330505;402,456238;5,824193;52,545219;C8;SC5;VC;0;MPP;24h
export_C9 ST-HSC SC5_CV0.csv;149354,0781;93642,3125;13620,85645;185,697632;146,698654;307,171844;15033,18457;172,001404;2325,605713;230,764282;214,401215;5,876945;184,926117;C9;SC5;CV;0;ST-HSC;24h
export_C9 ST-HSC SC5_VC1.csv;130661,7344;68835,65625;4361,981445;90,687042;165,887375;229,510773;25460,71875;136,701904;1754,212158;224,205688;350,101868;5,689066;150,82132;C9;SC5;VC;1;ST-HSC;24h
export_D1 MPP SC4_CF0.csv;153890,8594;96982,625;12767,45215;23,987373;144,965988;278,657837;68,276596;146,755371;769,886597;116,796143;611,284668;4,20048;46,201309;D1;SC4;CF;0;MPP;24h
export_D1 MPP SC4_CV1.csv.1;108346,5703;59079,03906;10521,45996;9,309789;151,74675;99,654724;13324,64648;92,549149;729,648804;345,735748;446,635315;5,760609;172,381241;D1;SC4;CV;1;MPP;24h
export_D1 MPP SC4_CV1.csv.2;143133,1875;60130,30078;12137,38184;58,002998;117,13797;150,483444;15757,26856;53,669811;696,290588;355,667725;433,209808;5,85598;178,495255;D1;SC4;CV;1;MPP;24h
export_D1 MPP SC4_Vi1.csv.1;112387,25;48730,62109;4,507413;56,880306;276,7052;35,940697;24771,6582;230,37709;644,804871;333,314819;313,208008;3,569392;5,83218;D1;SC4;Vi;1;MPP;24h
export_D1 MPP SC4_Vi1.csv.2;118220,2578;45174,375;1,58059;204,402588;261,311584;144,305801;30397,1543;152,606445;621,890686;170,073425;321,181641;3,310428;100,746239;D1;SC4;Vi;1;MPP;24h
export_D10 ST-HSC SC5_CV0.csv;110474,0547;70417,74219;11075,99414;314,461792;99,728104;540,450195;17613,47461;121,02713;1053,782104;434,016602;160,93454;5,862076;83,401314;D10;SC5;CV;0;ST-HSC;24h
export_D10 ST-HSC SC5_VC0.csv;102138,1328;62097,76563;6113,401367;118,071075;177,951996;269,060608;30357,54102;-141,783386;27,749754;2414,537598;142,407471;5,846747;58,857941;D10;SC5;VC;0;ST-HSC;24h
export_D10 ST-HSC SC5_Vi0.csv;189582,8125;111673,1875;8,304915;213,899048;252,110367;460,639557;54282,61328;973,405151;56692,125;119,207085;342,956451;3,997979;207,99086;D10;SC5;Vi;0;ST-HSC;24h
export_D11 HSC SC5_CF0.csv;135332,4844;114641,6641;14409,77148;1148,159058;64,814011;514,091736;56,537735;138,889435;793,14032;119,842255;703,999512;4,179705;166,712799;D11;SC5;CF;0;HSC;24h
export_D11 HSC SC5_CV0.csv;126476,5938;97084,79688;11062,25684;407,412231;130,386017;148,944336;16881,98047;114,447281;1148,733521;97,366714;333,123047;5,848669;201,639359;D11;SC5;CV;0;HSC;24h
export_D11 HSC SC5_VC0.csv;153498,4375;96246,52344;5985,359863;947,615906;131,274048;175,11438;45012,85156;97,64196;88,639198;26,162289;372,686523;5,961212;167,930511;D11;SC5;VC;0;HSC;24h
export_D11 HSC SC5_Vi1.csv;150640,6875;109239,7578;1,810128;271,489258;133,680313;165,746078;24264,11328;160,40184;2223,026855;345,933441;226,084763;3,282866;111,410286;D11;SC5;Vi;1;HSC;24h
export_D12 HSC SC5_CV0.csv;134499,3281;73966,15625;15767,95606;2452,562988;98,970825;180,153275;20987,16016;66,510155;-32,49464;105,788269;271,9198;6,024358;1,729457;D12;SC5;CV;0;HSC;24h
export_D12 HSC SC5_Vi0.csv;145556,5313;108402,0703;0,83921;2462,230469;96,450447;140,217392;36720,98828;161,034302;545,778137;476,69455;228,980438;3,17405;81,477882;D12;SC5;Vi;0;HSC;24h
export_D2 MPP SC4_CV0.csv;99266,32813;60445,79688;12863,35352;116,602058;179,564285;696,256409;16212,87891;-26,076475;404,997528;181,620239;250,177994;5,882573;90,615494;D2;SC4;CV;0;MPP;24h
export_D3 ST-HSC SC4_CV0.csv;143327,0313;73954,20313;17092,5;113,575638;97,090912;156,054871;20295,11133;110,907753;302,338043;363,358032;508,351105;6,038831;155,289474;D3;SC4;CV;0;ST-HSC;24h
export_D4 ST-HSC SC4_CF0.csv;140609,0781;55654,73047;13295,25684;325,69223;116,479622;128,912766;32,132793;11,994169;75,935219;612,666687;176,677078;3,981467;31,980104;D4;SC4;CF;0;ST-HSC;24h
export_D4 ST-HSC SC4_VC0.csv;131302,2969;69613,92188;8061,31543;119,323067;102,450981;243,646744;48035,41406;108,272224;953,405334;175,094772;455,850555;6,07261;25,664616;D4;SC4;VC;0;ST-HSC;24h
export_D4 ST-HSC SC4_Vi0.csv;126856,4453;89480,96094;8,453943;160,309708;134,739334;153,240173;58952,20313;109,536308;1276,780762;212,926575;517,249939;4,028783;190,954422;D4;SC4;Vi;0;ST-HSC;24h
export_D5 HSC SC4_CF0.csv;119229,0313;53728,76563;17090,65234;1032,837646;190,023605;139,912827;20,599709;-6,249337;6,205175;2107,166016;286,22757;3,922052;88,16787;D5;SC4;CF;0;HSC;24h
export_D5 HSC SC4_CV0.csv;111696,3281;53789,92578;15561,50098;4474,336914;214,038757;223,741226;17330,20898;-76,149429;-149,323257;4725,583984;213,431793;5,961515;21,431309;D5;SC4;CV;0;HSC;24h
export_D5 HSC SC4_VC0.csv;150846,0469;73109,09375;8364,770508;2515,621582;158,327133;180,193298;45979,33594;69,407135;-60,301529;4672,898926;463,575958;6,070524;94,281929;D5;SC4;VC;0;HSC;24h
export_D5 HSC SC4_Vi0.csv;115701,9375;61479,88281;0,974516;507,633911;70,75412;164,766876;78266,9375;-9,903959;7,884166;-8,754491;228,306747;3,452355;10,268412;D5;SC4;Vi;0;HSC;24h
