FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
164080;85605,03125;62926,01172;-510,385498;3711,819824;7014,89502;58512,71484;48683,12891;-55,309055;195,514694;CV;B6;SC2;HSC;24h
111733;68439,28125;96823,16406;893,119507;5587,98291;6618,555664;32551,13477;8216,311523;-55,72369;196,811981;CV;B5;SC2;HSC;24h
162630;108668,4219;117738,6094;418,655273;8334,297852;11272,93066;-716,572754;3370,193604;352,907288;197,489471;CV;B4;SC2;ST-HSC;24h
132119;104341,5859;71530,90625;1392,121704;7084,932617;10928,46973;305,126709;847,136169;555,087341;198,724701;CV;B3;SC2;ST-HSC;24h
176569;127901,2031;95840,22656;1883,94751;5820,539551;12480,80176;-436,796051;13026,16309;835,177673;199,552628;CV;B2;SC2;MPP;24h
152134;79768,08594;74081,07031;3792,221436;2726,58252;7887,924316;-588,022644;16071,54004;1006,071716;200,333038;CV;B1;SC2;MPP;24h
164096;91228,97656;90156,78125;7581,138184;3271,785889;9033,139648;3257,132324;9027,572266;1896,567871;201,726532;CV;C1;SC2;MPP;24h
167433;115275,3047;127130,0859;4939,552734;2301,526855;13784,3584;361,309326;3689,352051;3534,338135;202,713531;CV;C2;SC2;MPP;24h
141674;57801,87109;84030,66406;4260,98291;6011,476563;6824,057617;1479,631836;1190,369263;77,555946;203,347427;CV;C3;SC2;ST-HSC;24h
167815;103144,4453;81544,75781;-581,561951;8160,351563;8907,868164;1903,844849;5972,427734;47,5774;204,444;CV;C4;SC2;ST-HSC;24h
164688;79906,125;83947,36719;1189,085327;3930,122314;8558,347656;17631,41211;27512,43359;46,573128;205,53038;CV;C5;SC2;HSC;24h
149687;83866,44531;75292,49219;340,091248;4190,848145;11314,17188;7611,248047;3656,176025;67,282082;206,4608;CV;C6;SC2;HSC;24h
118927;69684,02344;65310,77344;2682,64502;2056,093994;7291,32666;-543,935181;19421,09766;2095,452881;207,135559;CV;C7;SC3;MPP;24h
168651;104207,1172;99094,875;7061,717773;3303,432617;10799,77051;-344,954224;1189,854492;3135,702393;208,016525;CV;C8;SC3;MPP;24h
157592;75432,91406;76382,53125;1320,352295;4944,601563;7583,350586;-33,934307;534,538818;93,653015;209,002335;CV;C9;SC3;ST-HSC;24h
150531;70096,95313;75804,19531;72,991348;4784,197266;6841,160156;1282,933594;15440,2666;72,791573;210,023102;CV;C10;SC3;ST-HSC;24h
108318;80285,73438;47798,73047;1047,916016;4794,166016;8135,763184;10157,43555;12714,39551;156,806015;211,443314;CV;C11;SC3;HSC;24h
148744;92304,73438;67916,875;-100,430763;3529,108643;7458,811523;10143,1377;15261,58984;-248,237991;212,776321;CV;C12;SC3;HSC;24h
139526;66209,22656;72391,27344;658,105774;4297,109863;7025;4829,04834;2002,788818;109,353775;213,721298;CV;D12;SC3;HSC;24h
