Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CV0.csv.27;104029,6953;86917,83594;24101,90039;-6,207915;245,533524;193,700439;11032,05176;59,128044;1896,081543;188,636642;726,673767;5,957168;148,671921;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.28;146686,3594;113794,4063;25854,22461;1280,155884;20,332989;502,449219;11968,55469;-16,950737;755,218384;190,547104;445,094971;6,003742;160,915939;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.29;150490,2344;104808,0078;27815,69141;6,083326;240,901901;713,717407;10713,67676;163,614975;749,338013;62,517384;548,171387;5,992184;168,246323;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.30;105584,4297;78431,76563;26149,55078;603,372192;10,263528;75,917068;12997,17578;28,640692;135,400131;-6,966104;448,724854;6,032549;168,555542;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.31;145084,5938;135394,7031;22860,65039;-1,995347;46,229057;3379,827148;9715,755859;439,840698;147,220551;-47,245667;201,087845;5,901913;172,251205;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.32;132972,7969;100533,1172;22605,60352;502,68277;65,06414;1267,27356;9321,126953;61,98774;880,553894;89,938583;128,733505;5,885734;185,287598;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.33;112793,8047;105109,0625;40094,07422;1440,072632;-32,521931;51,544407;21135,67773;194,013306;585,584717;48,343491;297,314087;6,313118;189,427597;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.34;134814,6875;87937,99219;45854,10938;1095,401367;49,234108;-16,551962;11327,42481;155,579742;607,595398;38,033752;379,809265;6,162796;202,210541;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.35;106763,6484;72610,17188;24925,49805;219,240341;-2,368403;221,573898;10506,41211;154,975388;474,611389;31,168732;232,517807;5,952494;212,26239;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV1.csv.1;157806,125;104610,8359;18607,18555;8,707157;184,409042;1918,695068;6077,79834;268,786957;717,238708;-16,425982;504,619904;5,694633;3,985181;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.2;159424,4063;135474,375;18269,50781;7,349466;31,82321;5556,425781;7623,799805;-10,887589;378,296539;-48,957142;375,331787;5,758606;11,420948;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.3;120337,2734;86444,92969;19680,66797;33,097843;68,600914;1706,65564;7489,306152;60,642853;636,5271;19,806177;408,719208;5,775989;32,104244;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.4;135203,5781;78505,08594;18566,44336;23,569241;33,423325;3081,484863;6527,577637;158,528488;187,283585;-43,577072;251,242249;5,715884;35,297623;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.5;83922,53125;45095,57813;21147,23242;92,225426;871,083191;69,01767;7383,683594;-20,917215;220,102127;236,336578;185,086075;5,793698;44,385269;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.6;96016;58442,49609;12543,76367;8,837973;74,736137;377,063965;5353,160156;117,325958;863,133118;70,122986;427,986938;5,534552;46,202694;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.7;124553,1328;69910,47656;20143,75195;43,764198;40,474751;441,838806;8178,161133;265,239258;787,616394;24,261253;573,665833;5,810152;46,347141;SC2;CV;1;24h
